CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
1;21.34;1635804560.0275607;3872.104241847992;
2;21.192;1635804560.6297004;3872.706381559372;
1;21.337;1635804561.336813;3873.4134941101074;
2;21.201;1635804561.9354634;3874.0121445655823;
1;21.343;1635804562.6398687;3874.716549873352;
2;21.214;1635804563.2358885;3875.312569618225;
1;21.333;1635804563.9388483;3876.01552939415;
2;21.219;1635804564.5339704;3876.6106514930725;
1;21.34;1635804565.2397845;3877.316465616226;
2;21.252;1635804565.83408;3877.910761117935;
1;21.339;1635804566.5406752;3878.617356300354;
2;21.273;1635804567.129514;3879.206195116043;
1;21.336;1635804567.837246;3879.913927078247;
2;21.244;1635804568.4301722;3880.5068533420563;
1;21.345;1635804569.142222;3881.218903064728;
2;21.237;1635804569.7436614;3881.820342540741;
1;21.343;1635804570.4497156;3882.526396751404;
2;21.236;1635804571.0423663;3883.1190474033356;
1;21.344;1635804571.7447762;3883.821457386017;
2;21.242;1635804572.3474903;3884.424171447754;
1;21.345;1635804573.0529308;3885.129611968994;
2;21.239;1635804573.6539981;3885.7306792736053;
1;21.344;1635804574.3720288;3886.448709964752;
2;21.22;1635804574.9651232;3887.0418043136597;
1;21.345;1635804575.6539671;3887.73064827919;
2;21.202;1635804576.2483978;3888.3250789642334;
1;21.342;1635804576.9531405;3889.0298216342926;
2;21.245;1635804577.5482047;3889.6248857975006;
1;21.343;1635804578.255022;3890.331703186035;
2;21.245;1635804578.8441098;3890.920790910721;
1;21.344;1635804579.5487862;3891.625467300415;
2;21.237;1635804580.14221;3892.218891143799;
1;21.331;1635804580.8461044;3892.9227855205536;
2;21.257;1635804581.4398553;3893.516536474228;
1;21.346;1635804582.147222;3894.2239031791687;
2;21.24;1635804582.743361;3894.8200421333313;
1;21.347;1635804583.4465744;3895.523255586624;
2;21.248;1635804584.0462384;3896.1229195594788;
1;21.351;1635804584.749792;3896.826473236084;
2;21.264;1635804585.3431017;3897.4197828769684;
1;21.344;1635804586.052445;3898.12912607193;
2;21.266;1635804586.654734;3898.7314150333405;
1;21.348;1635804587.3556027;3899.4322838783264;
2;21.242;1635804587.956991;3900.033672094345;
1;21.343;1635804588.7418118;3900.8184928894043;
2;21.232;1635804589.337586;3901.414267063141;
1;21.34;1635804590.0471084;3902.123789548874;
2;21.209;1635804590.639697;3902.716378211975;
1;21.341;1635804591.344943;3903.421624183655;
2;21.197;1635804591.9402373;3904.0169184207916;
1;21.34;1635804592.6458812;3904.72256231308;
2;21.19;1635804593.2435343;3905.3202154636383;
1;21.341;1635804593.94687;3906.0235512256622;
2;21.199;1635804594.5444746;3906.6211557388306;
1;21.349;1635804595.251141;3907.3278222084045;
2;21.184;1635804595.8557484;3907.9324295520782;
1;21.341;1635804596.5570538;3908.6337349414825;
2;21.196;1635804597.155211;3909.2318921089172;
1;21.347;1635804597.8562322;3909.9329133033752;
2;21.201;1635804598.4549952;3910.5316762924194;
1;21.344;1635804599.156432;3911.233113050461;
2;21.205;1635804599.7884314;3911.865112543106;
1;21.342;1635804600.4969006;3912.5735816955566;
2;21.193;1635804601.0890424;3913.1657235622406;
1;21.338;1635804601.796421;3913.8731021881104;
2;21.189;1635804602.402366;3914.479047060013;
1;21.342;1635804603.093379;3915.170060157776;
2;21.205;1635804603.6884744;3915.7651555538177;
1;21.328;1635804604.3919225;3916.4686036109924;
2;21.201;1635804604.98544;3917.062121152878;
1;21.336;1635804605.6937342;3917.7704153060913;
2;21.184;1635804606.2822008;3918.3588819503784;
1;21.341;1635804606.9841428;3919.060823917389;
2;21.177;1635804607.6070676;3919.6837487220764;
1;21.333;1635804608.3177729;3920.3944540023804;
2;21.18;1635804608.912059;3920.9887402057648;
1;21.338;1635804609.618328;3921.6950092315674;
2;21.2;1635804610.2100124;3922.286693572998;
1;21.334;1635804610.91612;3922.9928011894226;
